date,holidays,preholidays
2020-05-09,1.0,0.0
2020-05-10,1.0,0.0
2020-05-11,1.0,0.0
2020-05-16,1.0,0.0
2020-05-17,1.0,0.0
2020-05-23,1.0,0.0
2020-05-24,1.0,0.0
2020-05-30,1.0,0.0
2020-05-31,1.0,0.0
2020-06-06,1.0,0.0
2020-06-07,1.0,0.0
2020-06-12,1.0,0.0
2020-06-13,1.0,0.0
2020-06-14,1.0,0.0
2020-06-20,1.0,0.0
2020-06-21,1.0,0.0
2020-06-27,1.0,0.0
2020-06-28,1.0,0.0
2020-07-01,1.0,0.0
2020-07-04,1.0,0.0
2020-07-05,1.0,0.0
2020-07-11,1.0,0.0
2020-07-12,1.0,0.0
2020-07-18,1.0,0.0
2020-07-19,1.0,0.0
2020-07-25,1.0,0.0
2020-07-26,1.0,0.0
2020-08-01,1.0,0.0
2020-08-02,1.0,0.0
2020-08-08,1.0,0.0
2020-08-09,1.0,0.0
2020-08-15,1.0,0.0
2020-08-16,1.0,0.0
2020-08-22,1.0,0.0
2020-08-23,1.0,0.0
2020-08-29,1.0,0.0
2020-08-30,1.0,0.0
2020-09-05,1.0,0.0
2020-09-06,1.0,0.0
2020-09-12,1.0,0.0
2020-09-13,1.0,0.0
2020-09-19,1.0,0.0
2020-09-20,1.0,0.0
2020-09-26,1.0,0.0
2020-09-27,1.0,0.0
2020-10-03,1.0,0.0
2020-10-04,1.0,0.0
2020-10-10,1.0,0.0
2020-10-11,1.0,0.0
2020-10-17,1.0,0.0
2020-10-18,1.0,0.0
2020-10-24,1.0,0.0
2020-10-25,1.0,0.0
2020-10-31,1.0,0.0
2020-11-01,1.0,0.0
2020-11-04,1.0,0.0
2020-11-07,1.0,0.0
2020-11-08,1.0,0.0
2020-11-14,1.0,0.0
2020-11-15,1.0,0.0
2020-11-21,1.0,0.0
2020-11-22,1.0,0.0
2020-11-28,1.0,0.0
2020-11-29,1.0,0.0
2020-12-05,1.0,0.0
2020-12-06,1.0,0.0
2020-12-12,1.0,0.0
2020-12-13,1.0,0.0
2020-12-19,1.0,0.0
2020-12-20,1.0,0.0
2020-12-26,1.0,0.0
2020-12-27,1.0,0.0
2020-04-30,0.0,1.0
2020-05-08,0.0,1.0
2020-06-11,0.0,1.0
2020-11-03,0.0,1.0
2020-12-31,0.0,1.0
